634 640 480
300 261 -1 1
304 260 -1 1
303 260 -1 1
302 260 -1 1
301 260 -1 1
300 260 -1 1
299 260 -1 1
298 260 -1 1
297 260 -1 1
296 260 -1 1
306 259 -1 1
305 259 -1 1
304 259 -1 1
303 259 -1 1
302 259 -1 1
301 259 -1 1
300 259 -1 1
299 259 -1 1
298 259 -1 1
297 259 -1 1
296 259 -1 1
295 259 -1 1
294 259 -1 1
448 258 -1 1
307 258 -1 1
306 258 -1 1
305 258 -1 1
304 258 -1 1
303 258 -1 1
302 258 -1 1
301 258 -1 1
300 258 -1 1
299 258 -1 1
298 258 -1 1
297 258 -1 1
296 258 -1 1
295 258 -1 1
294 258 -1 1
293 258 -1 1
452 257 -1 1
451 257 -1 1
450 257 -1 1
449 257 -1 1
448 257 -1 1
447 257 -1 1
446 257 -1 1
445 257 -1 1
444 257 -1 1
308 257 -1 1
307 257 -1 1
306 257 -1 1
305 257 -1 1
304 257 -1 1
303 257 -1 1
302 257 -1 1
301 257 -1 1
300 257 -1 1
299 257 -1 1
298 257 -1 1
297 257 -1 1
296 257 -1 1
295 257 -1 1
294 257 -1 1
293 257 -1 1
292 257 -1 1
454 256 -1 1
453 256 -1 1
452 256 -1 1
451 256 -1 1
450 256 -1 1
449 256 -1 1
448 256 -1 1
447 256 -1 1
446 256 -1 1
445 256 -1 1
444 256 -1 1
443 256 -1 1
442 256 -1 1
308 256 -1 1
307 256 -1 1
306 256 -1 1
305 256 -1 1
304 256 -1 1
303 256 -1 1
302 256 -1 1
301 256 -1 1
300 256 -1 1
299 256 -1 1
298 256 -1 1
297 256 -1 1
296 256 -1 1
295 256 -1 1
294 256 -1 1
293 256 -1 1
292 256 -1 1
455 255 -1 1
454 255 -1 1
453 255 -1 1
452 255 -1 1
451 255 -1 1
450 255 -1 1
449 255 -1 1
448 255 -1 1
447 255 -1 1
446 255 -1 1
445 255 -1 1
444 255 -1 1
443 255 -1 1
442 255 -1 1
441 255 -1 1
309 255 -1 1
308 255 -1 1
307 255 -1 1
306 255 -1 1
305 255 -1 1
304 255 -1 1
303 255 -1 1
302 255 -1 1
301 255 -1 1
300 255 -1 1
299 255 -1 1
298 255 -1 1
297 255 -1 1
296 255 -1 1
295 255 -1 1
294 255 -1 1
293 255 -1 1
292 255 -1 1
291 255 -1 1
456 254 -1 1
455 254 -1 1
454 254 -1 1
453 254 -1 1
452 254 -1 1
451 254 -1 1
450 254 -1 1
449 254 -1 1
448 254 -1 1
447 254 -1 1
446 254 -1 1
445 254 -1 1
444 254 -1 1
443 254 -1 1
442 254 -1 1
441 254 -1 1
440 254 -1 1
309 254 -1 1
308 254 -1 1
307 254 -1 1
306 254 -1 1
305 254 -1 1
304 254 -1 1
303 254 -1 1
302 254 -1 1
301 254 -1 1
300 254 -1 1
299 254 -1 1
298 254 -1 1
297 254 -1 1
296 254 -1 1
295 254 -1 1
294 254 -1 1
293 254 -1 1
292 254 -1 1
291 254 -1 1
456 253 -1 1
455 253 -1 1
454 253 -1 1
453 253 -1 1
452 253 -1 1
451 253 -1 1
